,HCPID,Trial,RunNumber,TrialType,RunTrialNumber,Block,CurrentResponse,QuestionMark.ACC,RT,QuestionMark.OnsetDelay,ConsecSameResp,ConsecLargerGuesses,ConsecSmallerGuesses,ConsecRTLess200,FutureResponse,PastResponse,ResponseSwitch,PreviousFeedback,BlockType,BlockTypeCoded
85,100408_fnca,23,1,Punishment,22,5,3.0,0,476,13,1,1,0,0,2.0,2.0,1.0,Neutral,MostlyPunishment,MostlyPunishment
86,100408_fnca,24,1,Neutral,23,5,2.0,0,474,13,1,0,1,0,3.0,3.0,1.0,Punishment,MostlyPunishment,MostlyPunishment
87,100408_fnca,25,1,Punishment,24,5,3.0,0,612,13,1,1,0,0,2.0,2.0,1.0,Neutral,MostlyPunishment,MostlyPunishment
89,100408_fnca,28,1,Reward,26,5,3.0,0,663,13,1,1,0,0,3.0,,0.0,,MostlyReward,MostlyReward
90,100408_fnca,29,1,Reward,27,5,3.0,0,420,14,2,2,0,0,2.0,3.0,1.0,Reward,MostlyReward,MostlyReward
91,100408_fnca,30,1,Punishment,28,5,2.0,0,291,13,1,0,1,0,2.0,3.0,0.0,Reward,MostlyReward,MostlyReward
92,100408_fnca,31,1,Reward,29,5,2.0,0,715,13,2,0,2,0,2.0,2.0,0.0,Punishment,MostlyReward,MostlyReward
93,100408_fnca,32,1,Punishment,30,5,2.0,0,1058,14,3,0,3,0,3.0,2.0,1.0,Reward,MostlyReward,MostlyReward
94,100408_fnca,33,1,Reward,31,5,3.0,0,659,14,1,1,0,0,3.0,2.0,0.0,Punishment,MostlyReward,MostlyReward
95,100408_fnca,34,1,Reward,32,5,3.0,0,690,13,2,2,0,0,2.0,3.0,1.0,Reward,MostlyReward,MostlyReward
97,100408_fnca,1,2,Punishment,2,5,3.0,0,586,26,1,1,0,0,2.0,,1.0,,,MostlyPunishment
98,100408_fnca,2,2,Punishment,3,5,2.0,0,469,13,1,0,1,0,3.0,3.0,1.0,Punishment,,MostlyPunishment
99,100408_fnca,3,2,Reward,4,5,3.0,0,658,13,1,1,0,0,3.0,2.0,0.0,Punishment,,MostlyPunishment
100,100408_fnca,4,2,Punishment,5,5,3.0,0,709,13,2,2,0,0,3.0,3.0,0.0,Reward,,MostlyPunishment
101,100408_fnca,5,2,Reward,6,5,3.0,0,547,13,3,3,0,0,3.0,3.0,0.0,Punishment,,MostlyPunishment
102,100408_fnca,6,2,Punishment,7,5,3.0,0,666,14,4,4,0,0,3.0,3.0,0.0,Reward,,MostlyPunishment
103,100408_fnca,7,2,Punishment,8,5,3.0,0,420,14,5,5,0,0,2.0,3.0,1.0,Punishment,,MostlyPunishment
105,100408_fnca,10,2,Reward,10,5,2.0,0,784,13,2,0,2,0,3.0,,1.0,,,MostlyReward
106,100408_fnca,11,2,Neutral,11,5,3.0,0,349,13,1,1,0,0,2.0,2.0,1.0,Reward,,MostlyReward
107,100408_fnca,12,2,Reward,12,5,2.0,0,299,13,1,0,1,0,2.0,3.0,0.0,Neutral,,MostlyReward
108,100408_fnca,13,2,Reward,13,5,2.0,0,403,13,2,0,2,0,3.0,2.0,1.0,Reward,,MostlyReward
109,100408_fnca,14,2,Reward,14,5,3.0,0,324,13,1,1,0,0,3.0,2.0,0.0,Reward,,MostlyReward
110,100408_fnca,15,2,Reward,15,5,3.0,0,289,13,2,2,0,0,2.0,3.0,1.0,Reward,,MostlyReward
111,100408_fnca,16,2,Neutral,16,5,2.0,0,559,14,1,0,1,0,2.0,3.0,0.0,Reward,,MostlyReward
113,100408_fnca,19,2,Punishment,18,5,2.0,0,924,14,3,0,3,0,3.0,,1.0,,,MostlyPunishment
114,100408_fnca,20,2,Punishment,19,5,3.0,0,388,13,1,1,0,0,3.0,2.0,0.0,Punishment,,MostlyPunishment
115,100408_fnca,21,2,Reward,20,5,3.0,0,407,14,2,2,0,0,3.0,3.0,0.0,Punishment,,MostlyPunishment
116,100408_fnca,22,2,Punishment,21,5,3.0,0,258,13,3,3,0,0,2.0,3.0,1.0,Reward,,MostlyPunishment
117,100408_fnca,23,2,Reward,22,5,2.0,0,293,14,1,0,1,0,3.0,3.0,1.0,Punishment,,MostlyPunishment
118,100408_fnca,24,2,Punishment,23,5,3.0,0,696,13,1,1,0,0,2.0,2.0,1.0,Reward,,MostlyPunishment
119,100408_fnca,25,2,Punishment,24,5,2.0,0,559,14,1,0,1,0,2.0,3.0,0.0,Punishment,,MostlyPunishment
121,100408_fnca,28,2,Reward,26,5,3.0,0,753,13,1,1,0,0,3.0,,0.0,,MostlyReward,MostlyReward
122,100408_fnca,29,2,Reward,27,5,3.0,0,643,13,2,2,0,0,2.0,3.0,1.0,Reward,MostlyReward,MostlyReward
123,100408_fnca,30,2,Punishment,28,5,2.0,0,340,13,1,0,1,0,2.0,3.0,0.0,Reward,MostlyReward,MostlyReward
124,100408_fnca,31,2,Reward,29,5,2.0,0,318,14,2,0,2,0,3.0,2.0,1.0,Punishment,MostlyReward,MostlyReward
125,100408_fnca,32,2,Punishment,30,5,3.0,0,846,13,1,1,0,0,2.0,2.0,1.0,Reward,MostlyReward,MostlyReward
126,100408_fnca,33,2,Reward,31,5,2.0,0,335,13,1,0,1,0,3.0,3.0,1.0,Punishment,MostlyReward,MostlyReward
127,100408_fnca,34,2,Reward,32,5,3.0,0,318,14,1,1,0,0,2.0,2.0,1.0,Reward,MostlyReward,MostlyReward
